case_id,citizen_name,citizen_id,phone,email,address,case_type,case_status,submit_time,complete_time,department,handler_id,handler_name,id_card_number,household_type,income_level,tax_id,social_security_number,housing_fund_number,business_license_number,company_name,company_address,annual_income,tax_amount,approval_score,satisfaction,remark,attachment_count,process_days,priority
CASE0000000011,市民11,402496199708097371,1329469334,citizen11@mail.gov.cn,XX市XX区XX街道XX号,社保查询,已完成,2025-10-10 14:54:58,2025-10-05 14:54:58,公积金中心,H00108,办理员11,658250195111289513,城镇,中高收入,,SS0524053544,,BL0375980358,公司65有限公司,,347182.58,71774.83,80.2,满意,备注信息10,1,17,普通
CASE0000000012,市民12,599379197403058509,1314304628,citizen12@mail.gov.cn,XX市XX区XX街道XX号,营业执照办理,已完成,2025-08-04 14:54:58,2026-02-25 14:54:58,工商局,H00128,办理员12,167185196711046562,农村,低收入,,SS0800812462,HF0842799549,,,,,48159.6,98.4,一般,备注信息11,6,27,普通
CASE0000000013,市民13,655223198504096503,1365849569,citizen13@mail.gov.cn,XX市XX区XX街道XX号,户籍迁移,受理中,2026-02-05 14:54:58,2025-10-23 14:54:58,工商局,H00131,办理员13,,农村,中高收入,T0141880978,SS0244265376,HF0284025604,,,公司地址12,384254.2,,62.8,一般,,2,23,普通
CASE0000000014,市民14,492217196108013222,1315355362,citizen14@mail.gov.cn,XX市XX区XX街道XX号,户籍迁移,已完成,2025-06-25 14:54:58,2025-11-13 14:54:58,公积金中心,H00041,办理员14,218842198612044498,农村,中高收入,T0720066237,SS0301960495,HF0375824573,,,公司地址13,437103.39,,95.1,一般,,0,12,普通
CASE0000000015,市民15,123455199603174566,1389505499,citizen15@mail.gov.cn,XX市XX区XX街道XX号,户籍迁移,已完成,2026-02-18 14:54:58,,公积金中心,H00172,办理员15,564934197911091362,城镇,中等收入,T0676211442,SS0842217095,,,公司34有限公司,公司地址14,200147.34,,71.9,满意,,0,25,加急
CASE0000000016,市民16,524375195706011999,1363713764,citizen16@mail.gov.cn,XX市XX区XX街道XX号,税务申报,受理中,2025-04-12 14:54:58,2025-12-17 14:54:58,税务局,H00025,办理员16,,农村,中等收入,,SS0555348402,HF0560416325,BL0460323660,,公司地址15,138092.4,,65.8,非常满意,,0,9,普通
CASE0000000017,市民17,216992197209016747,1382948856,citizen17@mail.gov.cn,XX市XX区XX街道XX号,社保查询,审核中,2025-06-11 14:54:58,2025-12-19 14:54:58,公安局,H00095,办理员17,314898197101152521,农村,中等收入,,SS0933289193,,BL0765011121,,,54127.98,,63.4,一般,,5,12,加急
CASE0000000018,市民18,634812198209053907,1388913400,citizen18@mail.gov.cn,XX市XX区XX街道XX号,公积金提取,审核中,2026-02-12 14:54:58,2026-01-19 14:54:58,公安局,H00106,办理员18,325584196401259707,农村,中高收入,T0890624392,SS0377205758,HF0834537830,,公司43有限公司,,491362.64,36005.71,94.0,一般,,10,16,普通
CASE0000000019,市民19,592973196205213338,1390325786,citizen19@mail.gov.cn,XX市XX区XX街道XX号,公积金提取,已驳回,2026-02-16 14:54:58,2025-11-26 14:54:58,人社局,H00127,办理员19,553001196206129746,城镇,中等收入,T0385340772,SS0211596206,,,公司5有限公司,,,14555.86,85.8,满意,备注信息18,10,20,加急
CASE0000000020,市民20,155046200105225572,1344192761,citizen20@mail.gov.cn,XX市XX区XX街道XX号,社保查询,已完成,2025-09-12 14:54:58,2026-01-22 14:54:58,公积金中心,H00007,办理员20,322288196403036506,城镇,中等收入,T0311181082,SS0472431594,HF0304502562,BL0840270760,,公司地址19,492007.94,44890.43,99.6,非常满意,备注信息19,8,22,普通
CASE0000000021,市民21,303196195301245893,1341210791,citizen21@mail.gov.cn,XX市XX区XX街道XX号,户籍迁移,已完成,2025-05-26 14:54:58,2026-01-08 14:54:58,公安局,H00135,办理员21,132191197108024469,城镇,中等收入,T0650897932,SS0550361156,HF0514776109,BL0116036820,,,38303.68,46068.38,68.4,满意,,6,6,普通
CASE0000000022,市民22,496205199203222847,1319473105,citizen22@mail.gov.cn,XX市XX区XX街道XX号,营业执照办理,已完成,2025-04-03 14:54:58,2025-10-10 14:54:58,工商局,H00113,办理员22,584952195808146256,农村,高收入,,SS0233003297,,,,,239403.8,83121.95,84.9,满意,,9,2,普通
